,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
8,Brek Shea,MIA,D,19,10,907,0,1,8,3,0/0,0.0,37.5
9,Alvas Powell,MIA,D,13,10,968,0,0,7,3,0/0,0.0,42.9
10,Andy Polo,POR,M,19,12,1047,0,1,15,3,0/0,0.0,20.0
11,Carlos Ascues,ORL,D,17,14,1113,1,1,9,3,0/0,11.1,33.3
12,Laurent Ciman,TOR,D,17,14,1262,0,1,11,3,0/0,0.0,27.3
13,Ben Sweat,MIA,D,18,13,1265,0,2,4,3,0/0,0.0,75.0
14,Gaston Sauro,CLB,D,15,15,1285,2,0,11,3,0/0,18.2,27.3
15,Marcelo Silva,RSL,D,19,14,1342,2,0,7,3,0/0,28.6,42.9
16,Julio Cascante,POR,D,22,16,1440,0,1,10,3,0/0,0.0,30.0
17,Rudy Camacho,MTL,D,17,16,1464,1,0,9,3,0/0,11.1,33.3
18,David Guzman,CLB,M,21,17,1489,0,1,21,3,0/0,0.0,14.3
19,Miguel Ibarra,SEA,M,22,16,1505,1,2,23,3,0/0,4.3,13.0
20,Wilfried Zahibo,NE,M,24,18,1509,1,1,14,3,0/0,7.1,21.4
21,Hector Jimenez,CLB,M,23,19,1626,1,4,7,3,0/0,14.3,42.9
22,Shamit Shome,MTL,M,27,18,1627,1,1,8,3,0/0,12.5,37.5
23,Micheal Azira,CHI,M,23,18,1659,0,1,11,3,0/0,0.0,27.3
24,Michael Amir Murillo,NY,D,22,18,1694,1,6,12,3,0/0,8.3,25.0
0,Auro,TOR,D,23,22,1889,0,3,8,3,0/0,0.0,37.5
1,Guram Kashia,SJ,D,23,21,1905,0,0,9,3,0/0,0.0,33.3
2,Felipe,DC,M,27,22,1918,1,1,12,3,0/0,8.3,25.0
3,Victor Ulloa,MIA,M,26,22,1945,1,2,9,3,0/0,11.1,33.3
4,Zakaria Diallo,MTL,D,24,23,2037,3,2,11,3,0/0,27.3,27.3
5,Eric Remedi,ATL,M,28,25,2055,0,1,11,3,0/0,0.0,27.3
6,Jonathan Mensah,CLB,D,24,23,2151,0,0,12,3,0/0,0.0,25.0
7,Rolf Feltscher,LA,D,25,25,2183,1,4,17,3,0/0,5.9,17.6
8,Jordan Harvey,LAFC,D,30,28,2366,1,5,11,3,0/0,9.1,27.3
9,Osvaldo Alonso,MIN,M,27,27,2368,2,1,12,3,0/0,16.7,25.0
10,Romain Metanire,MIN,D,27,27,2430,1,7,11,3,0/0,9.1,27.3
11,Artur,CLB,M,30,28,2452,0,0,15,3,0/0,0.0,20.0
12,Junior Moreno,DC,M,29,29,2551,0,3,12,3,0/0,0.0,25.0
13,Sean Davis,RBNY,M,30,28,2557,0,2,13,3,0/0,0.0,23.1
14,Michael Boxall,MIN,D,29,29,2577,2,0,10,3,0/0,20.0,30.0
15,Boniek Garcia,HOU,M,32,30,2584,0,1,16,3,0/0,0.0,18.8
16,Matt Hedges,DAL,D,33,33,2884,1,1,13,3,0/0,7.7,23.1
17,Amando Moreno,CHI,M-F,7,0,77,0,0,6,2,0/0,0.0,33.3
18,Rodolfo Zelaya,LFC,F,4,1,118,1,0,6,2,0/0,16.7,33.3
19,Jimmy Medranda,NSH,D,10,2,176,0,1,8,2,0/0,0.0,25.0
20,Andres Rios,SJ,F,10,1,263,1,0,4,2,0/0,25.0,50.0
21,Eduardo Sosa,CLB,M,8,4,323,0,1,7,2,0/0,0.0,28.6
22,Terrence Boyd,TOR,F,11,3,339,0,0,4,2,0/0,0.0,50.0
23,Paul Marie,SJ,D,9,3,345,0,1,6,2,0/0,0.0,33.3
24,Andrew Wooten,PHI,F,7,4,352,0,1,5,2,0/0,0.0,40.0
0,Tajon Buchanan,NE,F,10,4,391,0,2,11,2,0/0,0.0,18.2
1,Gedion Zelalem,NYC,M,9,5,436,0,0,3,2,0/0,0.0,66.7
2,Jay Chapman,MIA,M,17,5,522,2,2,7,2,0/0,28.6,28.6
3,Darwin Ceren,HOU,M,13,5,530,1,0,4,2,0/0,25.0,50.0
4,Pablo Aranguiz,DAL,M,11,7,562,0,0,11,2,0/0,0.0,18.2
5,Kenny Saief,CIN,M,9,6,566,1,2,5,2,0/0,20.0,40.0
6,Mo Adams,ATL,M,14,6,574,1,1,3,2,0/0,33.3,66.7
7,Dillon Serna,COL,M,14,6,580,0,1,8,2,0/0,0.0,25.0
8,Dion Pereira,ATL,M,18,7,663,0,1,3,2,0/0,0.0,66.7
9,Nick Besler,RSL,M,17,7,727,1,2,3,2,0/0,33.3,66.7
10,Nouhou Tolo,SEA,D,22,9,790,0,0,5,2,0/0,0.0,40.0
11,Jacori Hayes,MIN,M,19,8,848,0,2,7,2,0/0,0.0,28.6
12,Julian Araujo,LA,D,18,10,891,0,1,7,2,0/0,0.0,28.6
13,Scott Sutter,VAN,D,16,9,980,1,0,5,2,0/0,20.0,40.0
14,Scott Caldwell,NE,M,20,12,1079,0,1,3,2,0/0,0.0,66.7
15,Joao Moutinho,ORL,D,16,15,1221,0,3,9,2,0/0,0.0,22.2
16,Ebenezer Ofori,NYC,M,20,14,1261,2,0,8,2,0/0,25.0,25.0
17,Josh Williams,CLB,D,16,15,1281,2,0,5,2,0/0,40.0,40.0
18,Anibal Godoy,NSH,M-D,15,15,1344,0,2,6,2,0/0,0.0,33.3
19,Antonio Mlinar Delamea,NE,D,17,16,1366,2,1,8,2,0/0,25.0,25.0
20,Tristan Blackmon,LAFC,D,18,15,1377,1,4,9,2,0/0,11.1,22.2
21,Kyle Smith,ORL,D,23,15,1384,0,0,6,2,0/0,0.0,33.3
22,Derek Cornelius,VAN,D,17,16,1426,1,0,5,2,0/0,20.0,40.0
23,Giancarlo Gonzalez,LA,D,20,15,1430,1,0,7,2,0/0,14.3,28.6
24,Caleb Stanko,CIN,M,23,16,1438,0,0,5,2,0/0,0.0,40.0
0,Michael Parkhurst,ATL,D,20,15,1443,0,0,4,2,0/0,0.0,50.0
1,Oriol Rosell,ORL,M-D,20,16,1465,0,1,15,2,0/0,0.0,13.3
2,Brooks Lennon,ATL,D,28,16,1539,0,1,10,2,0/0,0.0,20.0
3,Botond Barath,SKC,D,21,20,1749,1,0,8,2,0/0,12.5,25.0
4,Jalil Anibaba,NSH,D,22,19,1764,1,2,5,2,0/0,20.0,40.0
5,Nick Hagglund,CIN,D,22,20,1802,0,0,10,2,0/0,0.0,20.0
6,Steven Beitashour,LFC,D,25,24,1881,1,2,6,2,0/0,16.7,33.3
7,A.J. DeLaGarza,MIA,D,23,23,1995,0,1,8,2,0/0,0.0,25.0
8,Franco Escobar,ATL,D,25,22,2012,1,3,7,2,0/0,14.3,28.6
9,Justen Glad,RSL,D,23,23,2064,0,0,8,2,0/0,0.0,25.0
10,Everton Luiz,RSL,M,27,24,2106,0,2,8,2,0/0,0.0,25.0
11,Chris Mavinga,TOR,D,26,24,2112,0,1,5,2,0/0,0.0,40.0
12,Donny Toia,RSL,D,24,24,2143,1,1,11,2,0/0,9.1,18.2
13,Russell Teibert,VAN,M,27,26,2202,0,3,8,2,0/0,0.0,25.0
14,Jack Price,COL,M,27,25,2233,1,11,4,2,0/0,25.0,50.0
15,Luis Alberto Caicedo,NE,M,31,27,2359,0,0,22,2,0/0,0.0,9.1
16,Tim Parker,RBNY,D,31,26,2387,0,0,16,2,0/0,0.0,12.5
17,Erik Godoy,VAN,D,29,28,2596,1,1,13,2,0/0,7.7,15.4
18,Aljaz Struna,HOU,D,29,29,2610,0,1,4,2,0/0,0.0,50.0
19,Eddie Segura,LAFC,D,34,33,2955,1,0,16,2,0/0,6.3,12.5
20,Keegan Rosenberry,COL,D,34,34,3060,1,3,24,2,0/0,4.2,8.3
21,Francis Atuahene,DAL,F,1,0,26,1,0,2,1,0/0,50.0,50.0
22,Niki Jackson,COL,F,4,0,35,0,0,2,1,0/0,0.0,50.0
23,Ethan Zubak,LA,F,3,0,40,0,0,3,1,0/0,0.0,33.3
24,Cristian Martinez,CHI,M,5,0,50,0,0,3,1,0/0,0.0,33.3
0,Ricardo Pepi,DAL,F,7,0,71,0,0,1,1,0/0,0.0,100.0
1,Alfonso Ocampo-Chavez,SEA,F,3,1,82,0,0,1,1,0/0,0.0,100.0
